基金代码,基金名称,日期,单位净值,累计净值,日增长率,近一周增长率,近一个月增长率,近三个月增长率,近六个月增长率,近一年增长率,近两年增长率,近三年增长率,今年以来增长率,成立以来增长率,自定义增长率(当前日期向前推一年),手续费
009863	,富国创新趋势股票,2020-11-24,1.1453,1.1453,-0.38,1.33,11.75,13.63,,,,,,14.53,,0.15%
000081	,天治可转债增强债券C,2020-11-24,1.4560,1.4560,0.07,1.32,2.10,1.04,14.20,15.56,37.75,34.69,9.15,45.60,12.9209,0.00%
660015	,农银行业轮动混合,2020-11-24,5.2146,5.3146,-0.34,1.32,4.56,4.33,38.61,67.01,116.09,65.28,56.15,464.3468,55.3775,0.15%
320020	,诺安策略精选股票,2020-11-24,1.6861,2.4576,-0.37,1.32,6.54,7.23,34.58,30.38,67.45,73.65,20.05,145.7650,22.7649,0.15%
002063	,国泰沪深300指数增强C,2020-11-24,1.5992,2.3192,-0.55,1.32,4.58,6.05,41.38,42.72,60.22,29.96,34.47,56.0503,28.3056,0.00%
340006	,兴全全球视野股票,2020-11-24,2.7723,5.5183,-0.47,1.32,2.85,-1.58,28.15,48.09,110.39,68.39,38.91,944.7074,41.8291,0.15%
002772	,光大产业新动力混合,2020-11-24,1.5310,1.5860,-0.33,1.32,3.24,-0.28,35.48,46.35,70.04,49.67,37.36,58.6471,41.1140,0.15%
004435	,博时逆向投资混合C,2020-11-24,1.7309,1.7309,-0.36,1.32,7.14,4.06,42.55,75.02,133.21,96.76,56.63,72.9862,63.4574,0.00%
005760	,富国周期优势混合,2020-11-24,2.4780,2.4780,-0.93,1.32,3.52,2.63,39.56,73.91,147.82,,59.40,147.80,66.4888,0.15%
540006	,汇丰晋信大盘股票A,2020-11-24,5.0125,5.0725,-0.69,1.32,5.05,8.16,40.03,44.14,86.48,51.44,33.72,431.0469,26.7699,0.15%
005671	,前海联合研究优选混合A,2020-11-24,2.3773,2.3773,-0.69,1.32,6,11.44,53.96,97.38,137.07,,84.46,137.73,85.6087,0.15%
000512	,国泰沪深300指数增强A,2020-11-24,1.6279,2.3479,-0.54,1.32,4.59,6.08,41.44,42.85,60.19,30.29,34.58,161.1023,28.4622,0.10%
008252	,汇安宜创量化精选混合C,2020-11-24,1.4774,1.4774,-0.51,1.32,6.12,6,41.74,,,,47.46,47.74,38.36,0.00%
952004	,国泰君安君得明混合,2020-11-24,2.6959,3.6459,-0.55,1.32,5.29,6.38,35.07,43.30,,,36.20,46.5163,33.0963,1.00%
000950	,易方达沪深300非银联接A,2020-11-24,1.1508,1.1508,-1.05,1.31,-0.65,0.53,27.75,18.64,47.33,16.43,9.94,15.08,4.3816,0.10%
519733	,交银强化回报债券A/B,2020-11-24,1.0959,1.3039,0.13,1.31,3.13,-3.84,-1.27,2.71,11.15,8.40,0.54,32.2516,3.2805,0.08%
001577	,嘉实低价策略股票,2020-11-24,2.2470,2.2470,-1.06,1.31,12.24,10.20,62.83,88.82,139.55,77.07,68.69,124.70,64.2140,0.15%
000805	,中银新经济灵活配置混合,2020-11-24,1.7820,1.7820,-0.89,1.31,6.83,4.33,40.09,55.63,107.93,26.29,46.31,78.20,50.0444,0.15%
002900	,南方中证500信息技术联接A,2020-11-24,1.2402,1.2402,0.45,1.31,-0.39,-10.43,5.45,26.02,82.89,30.89,14.89,24.02,25.8651,0.12%
003401	,工银可转债债券,2020-11-24,1.4009,1.4009,0.03,1.31,2.30,0.87,16.98,22.95,47.22,36.58,15.93,40.09,15.7374,0.08%
673100	,西部利得沪深300指数增强A,2020-11-24,1.9648,2.0848,-0.75,1.31,5.65,7.85,42.82,58.39,103.23,77.57,47.89,117.9142,42.9257,0.08%
002121	,广发沪港深新起点股票A,2020-11-24,1.8603,1.9453,-0.64,1.31,6.45,0.94,32.31,37.49,66.54,36.48,27.33,99.1230,30.5535,0.15%
001603	,易方达安盈回报混合,2020-11-24,2.1620,2.1620,0.14,1.31,5.51,7.72,41.58,60.39,109.90,74.92,45.79,116.20,47.7139,0.10%
005295	,诺德天富灵活配置混合,2020-11-24,1.2804,1.2804,-0.41,1.31,4.05,4.20,22.70,23.34,44.35,,17.78,28.04,18.7980,0.15%
005672	,前海联合研究优选混合C,2020-11-24,2.3330,2.3330,-0.69,1.31,5.93,11.22,53.37,95.84,133.28,,83.17,133.30,84.2628,0.00%
005914	,景顺长城智能生活混合,2020-11-24,2.0236,2.0236,-0.36,1.31,6.79,5.47,39.88,72.82,,,58.09,102.36,61.8407,0.15%
007882	,易方达沪深300非银联接C,2020-11-24,1.1492,1.1492,-1.05,1.31,-0.66,0.52,27.70,18.52,,,9.85,13.9175,4.2688,0.00%
008872	,大成睿裕六月持有股票C,2020-11-24,1.2047,1.2047,-0.41,1.31,7.79,9.61,,,,,,20.47,11.47,0.00%
257010	,国联安小盘精选混合,2020-11-24,1.3990,4.1780,-0.29,1.30,4.48,0.14,35.30,52.99,74.06,38.20,39.47,665.7586,41.6403,0.15%
166011	,中欧盛世成长混合(LOF)A,2020-11-24,2.6865,3.9155,-0.89,1.30,12.42,11.33,57.61,89.93,147.85,88.91,79.45,565.3106,69.1900,0.15%
519735	,交银强化回报债券C,2020-11-24,1.0757,1.2727,0.13,1.30,3.10,-3.94,-1.49,2.25,10.22,7.03,0.16,28.6605,2.9017,0.00%
290003	,泰信双息双利债券,2020-11-24,1.1490,1.6093,0.48,1.30,2.47,3.32,8.08,10.71,13.92,16.65,9.60,77.6074,5.2291,0.00%
000757	,华富智慧城市灵活配置混合,2020-11-24,1.32,1.52,0,1.30,2.09,-1.05,23.36,54.03,106.90,39.53,44.26,46.3478,45.9887,0.15%
001356	,广发聚泰混合C,2020-11-24,1.1730,1.28,0.17,1.30,0.26,-0.34,6.73,9.22,15,16.96,4.55,30.0236,6.4781,0.00%
001322	,东吴新趋势,2020-11-24,0.8913,0.8913,0.01,1.30,6.56,6.25,40.49,60.02,105.84,36.70,53.94,-10.87,44.6797,0.15%
240018	,华宝可转债债券A,2020-11-24,1.3304,1.3304,0.34,1.30,2.22,0.97,13.48,26.73,54.70,42.11,16.66,33.04,23.7614,0.08%
003580	,泰康沪港深价值优选混合,2020-11-24,1.6942,1.6942,-0.67,1.30,5.07,1,30.33,39.14,75.22,36.98,33.70,69.42,34.3318,0.15%
163417	,兴全合宜混合(LOF)A,2020-11-24,1.8689,1.8689,-0.94,1.30,8.56,11.07,53.29,70.85,120.05,,64.02,86.89,47.9139,0.15%
006408	,汇添富消费升级混合,2020-11-24,2.2619,2.2619,-0.37,1.30,5.64,0.44,40.81,60.86,,,60.33,126.19,63.0649,0.15%
005840	,富国产业驱动混合,2020-11-24,2.5472,2.5472,-0.78,1.30,4.44,7.24,46.42,85.08,154.80,,75.67,154.72,76.5532,0.15%
006748	,富国中证价值ETF联接A,2020-11-24,1.5717,1.5717,-0.54,1.30,5.21,1.32,34.38,37.90,,,30.42,57.17,27.0393,0.12%
673101	,西部利得沪深300指数增强C,2020-11-24,1.9549,1.9549,-0.75,1.30,5.61,7.74,42.52,57.69,,,47.35,111.3177,42.3000,0.00%
007163	,浦银安盛环保新能源A,2020-11-24,1.6496,1.6496,-0.43,1.30,10.01,13.13,54.25,63.88,,,49.69,64.96,34.0706,0.15%
004647	,新华鼎利债券A,2020-11-24,1.0679,1.0679,0.23,1.30,2.23,1.48,0.07,5.06,,,-1.42,6.79,-0.1149,0.08%
008817	,华宝可转债债券C,2020-11-24,1.3276,1.3276,0.34,1.30,2.19,0.90,13.33,,,,,13.9864,12.4238,0.00%
007203	,银河新动能混合,2020-11-24,1.7882,1.7882,0.10,1.30,6.25,1,45.75,79.25,,,78.80,78.82,67.14,0.15%
010024	,广发沪港深新起点股票C,2020-11-24,1.8594,1.8594,-0.63,1.30,6.42,,,,,,,6.2514,,0.00%
001355	,广发聚泰混合A,2020-11-24,1.1780,1.4850,0.17,1.29,0.34,-0.25,6.99,9.68,15.04,17.49,4.99,54.2418,6.9406,0.12%
004347	,南方中证500信息技术联接C,2020-11-24,1.2249,1.2249,0.45,1.29,-0.42,-10.52,5.23,25.51,81.44,29.35,14.48,31.2299,25.3665,0.00%
001306	,中欧永裕混合A,2020-11-24,1.8910,1.8910,-0.89,1.29,12.36,11.24,56.80,88.91,142.75,83.59,78.73,89.10,67.7966,0.15%
001307	,中欧永裕混合C,2020-11-24,1.8110,1.8110,-0.88,1.29,12.34,11.04,56.12,87.47,139.23,79.48,77.38,81.10,66.3918,0.00%
001734	,广发百发大数据成长混合A,2020-11-24,1.4110,1.4110,-0.21,1.29,7.14,1.36,23.99,38.74,80.43,44.72,36.33,41.10,33.4646,0.12%
001735	,广发百发大数据成长混合E,2020-11-24,1.4140,1.4140,-0.21,1.29,7.12,1.36,23.93,38.76,80.36,44.88,36.35,41.40,33.4971,0.06%
004233	,中欧盛世成长混合(LOF)C,2020-11-24,2.6299,2.6299,-0.89,1.29,12.34,11.11,57,88.47,144.69,86.25,78.21,118.9394,67.9919,0.00%
006392	,中信保诚创新成长混合,2020-11-24,2.2951,2.2951,-0.64,1.29,8.52,7.53,51.71,98.02,,,82.28,129.51,87.0133,0.15%
006892	,新华鼎利债券C,2020-11-24,1.0611,1.0611,0.23,1.29,2.20,1.38,-0.15,4.62,,,-1.78,6.11,-0.5369,0.00%
007164	,浦银安盛环保新能源C,2020-11-24,1.6361,1.6361,-0.44,1.29,9.98,13.03,53.97,63.12,,,49.24,63.61,33.4137,0.00%
550001	,信诚四季红混合,2020-11-24,1.1476,2.8380,-0.30,1.29,3.71,-2.25,25.94,41.25,62.37,17.55,32.37,369.7296,38.0684,0.12%
010214	,中欧互联网先锋混合C,2020-11-24,1.0325,1.0325,-0.34,1.29,3.25,,,,,,,3.25,,0.00%
010213	,中欧互联网先锋混合A,2020-11-24,1.0331,1.0331,-0.34,1.29,3.30,,,,,,,3.31,,0.15%
040008	,华安策略优选混合,2020-11-24,2.5015,4.0378,-0.52,1.28,7.69,5.57,34.86,37.82,79.59,52.33,31.70,150.15,27.1721,0.15%
290004	,泰信优质生活混合,2020-11-24,1.1230,1.9367,-0.68,1.28,8.50,9.43,34.54,54.17,97.71,38.13,45.05,101.3137,42.0440,0.15%
000279	,华商红利优选混合,2020-11-24,1.0140,2.4140,-0.49,1.28,6.14,8.78,38.17,51.99,76.30,67.58,44.72,260.5477,38.8924,0.15%
001534	,华宝万物互联混合,2020-11-24,1.4210,1.4210,0.14,1.28,7.08,1.94,38.36,59.30,110.83,65.23,47.87,42.10,48.7122,0.15%
002271	,招商安弘灵活配置混合,2020-11-24,1.9662,1.9662,-0.63,1.28,6.48,-0.28,27.15,43.17,81.55,87.61,34.84,96.62,33.8069,0.15%
002866	,新华丰盈回报债券,2020-11-24,1.3430,1.3430,-0.07,1.28,3.07,1.90,10.35,14.10,24.93,22.31,7.27,34.30,7.6475,0.08%
001811	,中欧明睿新常态混合A,2020-11-24,2.1420,2.3930,-0.56,1.28,13.39,10.87,42.70,53.99,131.19,104.61,43.66,162.5503,40.9920,0.15%
003655	,信达澳银新财富混合,2020-11-24,1.5060,1.7970,-0.13,1.28,4.51,1.55,31.41,40.83,93.01,65.16,31.99,95.3934,33.9758,0.15%
004993	,中欧可转债债券A,2020-11-24,1.4129,1.4129,-0.06,1.28,3.30,-0.10,18.68,19.45,48.59,41.18,13.96,41.29,17.6654,0.08%
005491	,兴全合宜混合(LOF)C,2020-11-24,1.8609,1.8609,-0.94,1.28,8.50,10.91,52.83,,,,,52.4079,35.1843,0.00%
007614	,德邦民裕进取量化精锐股票A,2020-11-24,1.3650,1.3650,-0.02,1.28,0.99,-5.82,20.07,36.88,,,29.36,36.50,,0.15%
920011	,中金安心回报灵活配置混合A,2020-11-24,1.3432,2.3892,-0.22,1.28,5.43,2.23,10.94,,,,,11.9707,7.7109,1.50%
920921	,中金安心回报灵活配置混合C,2020-11-24,1.3404,1.3404,-0.22,1.28,5.40,2.13,10.72,,,,,9.3044,5.2353,0.00%
002653	,泰康沪港深精选混合,2020-11-24,1.6104,1.7364,-0.63,1.27,4.80,1.26,30.27,35.73,49.86,31.74,29.31,78.1430,31.2752,0.15%
002789	,长盛同享灵活配置A,2020-11-24,1.92,1.92,-0.52,1.27,4.86,4.07,35.88,47.01,92.96,82.68,40.04,92,41.4918,0.12%
003634	,嘉实农业产业股票,2020-11-24,2.0782,2.0782,-0.23,1.27,2.46,-7.98,29.76,58.12,139.29,81.96,56.77,107.82,65.4328,0.15%
004194	,招商中证1000指数增强A,2020-11-24,1.3131,1.3131,-0.16,1.27,2.42,-2.62,27.77,52.10,92.59,42,41.27,31.31,49.2421,0.12%
630005	,华商动态阿尔法混合,2020-11-24,1.8330,2.2730,-0.38,1.27,4.68,6.69,33.41,57.34,80.17,32.39,50.25,155.1183,44.0102,0.15%
004640	,华夏节能环保股票,2020-11-24,1.7510,1.7510,-0.44,1.27,8.37,8.68,67.90,102.05,157.69,86.93,78.11,75.10,86.5330,0.15%
004994	,中欧可转债债券C,2020-11-24,1.3977,1.3977,-0.06,1.27,3.27,-0.20,18.44,18.99,47.61,39.67,13.55,39.77,17.1958,0.00%
004668	,建信鑫泽回报灵活配置混合A,2020-11-24,1.3183,1.3183,-0.15,1.27,2.42,2.86,26.35,34.08,46.58,,29.56,31.83,30.1881,0.15%
006573	,人保行业轮动混合A,2020-11-24,1.5285,1.5285,-0.48,1.27,3.21,-0.55,26.78,36.77,,,27.16,52.85,31.6661,0.15%
007242	,中欧预见养老2050五年持有(FOF)C,2020-11-20,1.4334,1.4334,0.46,1.27,2.28,3.61,19.56,30.74,,,26.80,43.34,29.8625,0.00%
007241	,中欧预见养老2050五年持有(FOF)A,2020-11-20,1.4319,1.4319,0.46,1.27,2.30,3.68,19.73,31.13,,,27.13,43.19,30.2440,0.15%
007615	,德邦民裕进取量化精锐股票C,2020-11-24,1.3550,1.3550,-0.02,1.27,0.94,-5.96,19.73,36.06,,,28.66,35.50,,0.00%
519655	,银河服务混合,2020-11-24,2.0090,2.0090,-0.30,1.26,6.98,3.61,43.71,82.64,152.07,106.47,80.02,100.90,77.7040,0.15%
