code,name,date,netAssetValue,accumulativeTotalTetValue,dailyGrowthRate,weekGrowthRate,oneMothGrowthRate,threeMothGrowthRate,sixMothGrowthRate,oneYearGrowthRate,twoYearGrowthRate,threeYearGrowthRate,nowYearGrowthRate,setUpGrowthRate,customGrowthRate,serviceChargeRate
009155	,海富通富盈混合C,2020-09-08,1.0237,1.0237,0.10,-0.70,0.25,2.38,,,,,,2.37,2.27,0.00%
161115	,易方达岁丰添利债券(LOF),2020-09-08,1.67,2.2540,-0.24,-0.71,1.52,5.36,5.43,11.86,26.61,24.81,7.95,155.9468,11.9732,0.08%
000048	,华夏双债债券C,2020-09-08,1.5330,1.7480,0.33,-0.71,-0.84,10.77,9.34,21.47,32.50,33.54,17.65,83.4156,20.7905,0.00%
000045	,工银产业债债券A,2020-09-08,1.5360,1.6870,0.13,-0.71,0.13,3.30,2.95,6.82,17.34,21.23,5.06,72.4729,6.5278,0.08%
001157	,国联安睿祺灵活配置混合,2020-09-08,1.5352,1.5352,0.15,-0.71,1.27,10.41,13.07,21.70,32.64,48.56,17.52,53.52,21.4852,0.15%
002186	,国联安鑫享灵活配置混合C,2020-09-08,1.0802,1.6102,0.16,-0.71,1.51,10.38,12.91,19.85,33.80,5.51,15.95,60.5011,19.6074,0.00%
004218	,前海开源裕和混合A,2020-09-08,1.1881,1.1881,0.30,-0.71,-0.87,3.86,6.01,15.74,24.58,17.39,13.22,18.81,15.4581,0.15%
206013	,鹏华宏观灵活配置混合,2020-09-08,1.2590,1.7550,0.16,-0.71,1.61,8.25,7.98,12.51,19.22,22.71,9.48,75.4692,12.1320,0.15%
006306	,泰达宏利泰和平衡养老(FOF),2020-09-04,1.2950,1.2950,-0.58,-0.71,-0.21,14.54,15.82,22.11,,,18.68,29.50,,0.12%
007911	,大成有色金属期货ETF联接C,2020-09-08,1.0183,1.0183,0.28,-0.71,0.80,12.53,8.72,,,,1.65,1.83,1.55,0.00%
008838	,德邦量化对冲混合A,2020-09-08,1.0117,1.0117,0.32,-0.71,0.49,1.09,,,,,,1.17,0.85,0.15%
008727	,平安添裕债券C,2020-09-08,1.0024,1.0024,0,-0.71,-1,,,,,,,0.24,0.24,0.00%
008839	,德邦量化对冲混合C,2020-09-08,1.0108,1.0108,0.32,-0.71,0.47,1.03,,,,,,1.08,0.76,0.00%
008726	,平安添裕债券A,2020-09-08,1.0033,1.0033,0,-0.71,-0.97,,,,,,,0.33,0.33,0.08%
519730	,交银定期支付月月丰债券A,2020-09-08,1.5920,1.5920,0.01,-0.72,-1.55,2.71,1.79,6.35,16.89,12.75,4.19,59.20,5.7741,0.08%
001257	,兴业收益增强债券A,2020-09-08,1.3740,1.3740,0.15,-0.72,0.07,3.85,3.78,9.48,19.69,19.90,7.43,37.40,9.0620,0.08%
001228	,国联安鑫享灵活配置混合A,2020-09-08,1.1007,1.2207,0.15,-0.72,1.51,10.40,12.95,20.07,37.18,8.10,16.01,23.1593,19.8452,0.15%
002490	,金鹰元祺信用债,2020-09-08,1.2341,1.2761,-0.27,-0.72,-1.82,3.13,0.98,10.25,16.50,21.45,6.40,28.1293,9.7658,0.08%
002172	,海富通新内需混合C,2020-09-08,1.3810,1.7770,0.07,-0.72,0.88,6.15,5.34,11.10,21.19,24.86,8.06,33.7769,10.8434,0.15%
002323	,银华稳利灵活配置混合C,2020-09-08,1.2390,1.2390,0,-0.72,-1.27,8.68,7.55,25.53,29.87,14.72,18.34,22.1893,25.4048,0.00%
002351	,易方达裕祥回报债券,2020-09-08,1.5160,1.5160,0.13,-0.72,0.80,5.94,4.84,15.64,37.19,40.89,9.54,51.60,14.9582,0.10%
002415	,融通通盈灵活配置混合,2020-09-08,1.4826,1.4826,0.08,-0.72,0.68,6.73,6.40,18.36,38.30,43.52,10.58,48.26,18.3132,0.15%
003221	,新华丰利债券A,2020-09-08,1.2031,1.2031,0.12,-0.72,0.17,5.06,3.46,8.31,14.55,15.42,5.02,20.31,7.8442,0.08%
004153	,信诚新悦回报灵活配置混合A,2020-09-08,1.3830,1.5360,0.22,-0.72,2.22,13.36,15.64,22.58,43.58,47.77,17.60,56.7840,22.2218,0.10%
360014	,光大信用添益债券C,2020-09-08,1.2480,1.7520,0.24,-0.72,0.97,15.54,19.60,31.09,39.60,43.82,27.64,97.4973,29.5923,0.00%
006898	,天弘弘丰增强回报债券A,2020-09-08,1.0707,1.0707,-0.13,-0.72,1.53,2.74,0.83,5.35,,,3.09,7.07,5.2833,0.80%
007416	,南方致远混合C,2020-09-08,1.1794,1.1794,-0.05,-0.72,0.89,8.62,9.63,15.60,,,13.25,17.94,15.5390,0.00%
006894	,兴业养老2035(FOF)A,2020-09-04,1.2212,1.2212,-0.86,-0.72,-0.57,14.13,13.68,21.32,,,18.85,22.12,,0.08%
007502	,前海开源裕和混合C,2020-09-08,1.2127,1.2127,0.30,-0.72,-0.89,3.81,5.90,15.51,,,13.07,21.27,15.2292,0.00%
008088	,华夏中证全指房地产ETF联接A,2020-09-08,1.0426,1.0426,0.27,-0.72,0.41,11.07,8.43,,,,4.18,4.26,3.98,0.12%
400020	,东方成长回报平衡混合,2020-09-08,1.2691,1.6968,0.46,-0.73,1.16,17.61,19.66,22.13,27.15,29.04,20.55,71.6622,20.5209,0.12%
519731	,交银定期支付月月丰债券C,2020-09-08,1.5461,1.5461,0.01,-0.73,-1.58,2.66,1.58,5.90,15.99,11.39,3.90,54.61,5.3783,0.00%
519686	,交银上证180公司治理联接,2020-09-08,1.5020,1.5020,1.28,-0.73,2.53,18.17,13.10,12.93,29.37,17.62,10.77,50.20,11.2528,0.15%
003222	,新华丰利债券C,2020-09-08,1.1852,1.1852,0.12,-0.73,0.15,4.96,3.25,7.93,13.74,14.13,4.74,18.52,7.4716,0.00%
001115	,广发聚安混合A,2020-09-08,1.3520,1.7120,0.07,-0.73,0.75,10.01,11.18,16.45,23.02,32.70,14.09,84.5752,16.1651,0.12%
004154	,信诚新悦回报灵活配置混合B,2020-09-08,1.3610,1.5140,0.15,-0.73,2.18,13.32,15.53,22.48,43.25,46.37,17.43,54.5691,22.2027,0.00%
000046	,工银产业债债券B,2020-09-08,1.50,1.64,0.13,-0.73,0.07,3.16,2.74,6.46,16.64,20,4.75,67.3002,6.0906,0.00%
001303	,银华稳利灵活配置混合A,2020-09-08,1.2160,1.2160,0.08,-0.73,-1.22,8.77,7.71,28,31.03,7.90,20.28,21.60,27.7603,0.06%
005177	,华夏睿磐泰利混合A,2020-09-08,1.1907,1.1907,0.05,-0.73,0.11,5.35,6.42,11.86,22.74,,9.47,19.07,11.7360,0.06%
005223	,广发中证基建工程指数A,2020-09-08,0.7836,0.7836,1.44,-0.73,-0.50,11.91,0.13,-0.62,-0.55,,2.58,-21.64,-2.8424,0.10%
006899	,天弘弘丰增强回报债券C,2020-09-08,1.0644,1.0644,-0.14,-0.73,1.50,2.64,0.63,4.93,,,2.81,6.44,4.8701,0.00%
004225	,国寿安保稳诚混合A,2020-09-08,1.0703,1.2385,-0.07,-0.73,1.44,6.47,6.76,11.50,17.48,19.51,10.38,25.8086,11.5121,0.08%
008089	,华夏中证全指房地产ETF联接C,2020-09-08,1.0402,1.0402,0.27,-0.73,0.39,10.99,8.26,,,,3.97,4.02,3.74,0.00%
006895	,兴业养老2035(FOF)C,2020-09-04,1.2197,1.2197,-0.86,-0.73,-0.60,14.02,13.46,21.29,,,18.53,21.97,,0.00%
920927	,中金恒瑞债券C,2020-09-08,1.0672,1.0672,-0.10,-0.73,-1.20,1.39,,,,,,1.3870,1.4915,0.00%
009181	,浙商智多兴稳健回报一年持有混合A,2020-09-08,1.0016,1.0016,-0.03,-0.73,-0.20,0.16,,,,,,0.16,0.19,0.12%
001675	,江信同福A,2020-09-08,1.1391,1.1776,0.67,-0.74,1.12,8.89,7.93,6.99,36.86,9.32,7.66,18.2990,5.6292,0.05%
001415	,信诚新锐混合A,2020-09-08,1.0660,1.1010,0.09,-0.74,0.85,6.60,6.70,12.24,16.88,18.64,9.02,10.3310,12.1338,0.15%
000953	,国泰睿吉灵活配置混合A,2020-09-08,1.0770,1.2430,0,-0.74,1.70,11.49,11.38,19.93,25.09,4.89,15.56,24.8209,19.6666,0.15%
004150	,博时鑫惠混合C,2020-09-08,1.2777,1.2777,0.02,-0.74,0.74,6.45,6.45,14.78,20.31,21.02,10.65,27.77,14.6563,0.08%
004149	,博时鑫惠混合A,2020-09-08,1.2821,1.2821,0.02,-0.74,0.75,6.47,6.50,14.88,20.53,21.35,10.72,28.21,14.7730,0.08%
004226	,国寿安保稳诚混合C,2020-09-08,1.0691,1.2347,-0.07,-0.74,1.43,6.44,6.71,11.38,17.25,19.15,10.31,25.3695,11.3921,0.00%
005178	,华夏睿磐泰利混合C,2020-09-08,1.1811,1.1811,0.05,-0.74,0.08,5.28,6.25,11.52,22,,9.24,18.11,11.3995,0.00%
000954	,国泰睿吉灵活配置混合C,2020-09-08,1.0680,1.1790,0,-0.74,1.62,11.37,11.25,19.73,24.62,3.71,15.46,18.7504,19.4631,0.00%
005224	,广发中证基建工程指数C,2020-09-08,0.7815,0.7815,1.43,-0.74,-0.51,11.85,0.03,-0.79,-0.69,,2.42,-21.85,-3.0086,0.00%
007106	,农银汇理可转债债券,2020-09-08,1.2650,1.2650,0.31,-0.74,0.48,12.08,7.20,21.34,,,16.50,26.50,20.3340,0.08%
007651	,工银养老2045三年持有混合(FOF),2020-09-04,1.2086,1.2086,-0.80,-0.74,-0.26,15.07,16.07,,,,,20.86,,0.12%
009182	,浙商智多兴稳健回报一年持有混合C,2020-09-08,1.0003,1.0003,-0.03,-0.74,-0.24,0.03,,,,,,0.03,0.06,0.00%
320020	,诺安策略精选股票,2020-09-08,1.5818,2.3056,0.52,-0.75,3.68,19.22,18.29,24.20,56.54,56.92,12.62,130.5622,22.7649,0.15%
001116	,广发聚安混合C,2020-09-08,1.3290,1.5260,0.08,-0.75,0.76,9.93,11.03,16.07,21.95,31.12,13.78,59.1889,15.7803,0.00%
161211	,国投沪深300金融地产联接,2020-09-08,1.9351,1.9351,1.61,-0.75,2.06,15.72,10.31,12.71,40.63,27.13,7.57,93.51,10.7654,0.12%
519963	,长信利盈混合A,2020-09-08,1.4859,1.4859,0.09,-0.75,0.43,6.26,5.38,14.63,29.22,27.11,11.54,48.59,13.6579,0.08%
001226	,中邮稳健添利灵活配置混合,2020-09-08,1.3230,1.4530,0.76,-0.75,4.09,10.25,6.27,11.12,18.40,20.35,4.67,46.34,10.1926,0.15%
000184	,工银添福债券A,2020-09-08,1.5790,1.7250,0,-0.75,-1.62,3.88,1.02,6.76,5.98,3.27,5.41,73.3825,6.4734,0.08%
002639	,天弘价值精选灵活配置混合,2020-09-08,1.2974,1.2974,0.15,-0.75,1.36,9.57,12.42,19.60,31.17,21.70,15.04,29.74,19.2818,0.15%
003254	,前海开源鼎裕债券A,2020-09-08,1.3902,1.9502,0.15,-0.75,-0.68,-1.01,-0.23,1.57,83.31,88.44,0.72,95.0775,1.4071,0.08%
000667	,工银绝对收益混合发起A,2020-09-08,1.3190,1.3190,0.08,-0.75,0.08,4.77,7.06,17.24,19.58,18.19,13.41,31.90,16.9476,0.15%
001676	,江信同福C,2020-09-08,1.1116,1.1451,0.67,-0.75,1.08,8.76,7.65,6.40,35.61,7.31,7.29,14.8821,5.0618,0.00%
003194	,汇添富中证上海国企ETF联接,2020-09-08,0.9416,0.9416,1.18,-0.75,0.19,12.19,6.02,-3.03,15.12,-7.68,0.15,-5.84,-4.5049,0.12%
003255	,前海开源鼎裕债券C,2020-09-08,1.4073,1.9673,0.16,-0.75,-0.71,-1.12,-0.43,1.16,80.54,90.67,0.43,96.6592,0.9936,0.00%
007407	,农银养老2035混合(FOF),2020-09-04,1.2637,1.2637,-0.73,-0.75,0.69,15.52,15.45,25.97,,,22.11,26.37,,0.08%
008469	,朱雀安鑫回报债券A,2020-09-08,1.0496,1.0496,0.06,-0.75,-0.47,4.72,,,,,,4.96,4.9,0.80%
008470	,朱雀安鑫回报债券C,2020-09-08,1.0490,1.0490,0.05,-0.75,-0.49,4.66,,,,,,4.90,4.85,0.00%
