基金代码,基金名称,日期,单位净值,累计净值,日增长率,近一周增长率,近一个月增长率,近三个月增长率,近六个月增长率,近一年增长率,近两年增长率,近三年增长率,今年以来增长率,成立以来增长率,自定义增长率(当前日期向前推一年),手续费
004854	,广发中证全指汽车指数A,2020-11-23,1.3577,1.3577,2.75,8.44,19.21,47.85,89.28,88.57,96.31,32.77,78.50,35.77,22.0138,0.10%
004855	,广发中证全指汽车指数C,2020-11-23,1.3552,1.3552,2.75,8.43,19.19,47.77,89.09,88.22,95.95,32.54,78.20,35.52,21.8223,0.00%
688888	,浙商聚潮产业成长混合,2020-11-23,1.8620,2.1630,1.92,7.13,14.94,12.03,53.50,64.05,92.75,53.38,46.50,132.1019,47.0270,0.15%
001838	,国投瑞银国家安全混合,2020-11-23,1.0820,1.0820,0.28,7.02,8.09,-3.82,53.04,66.46,69.59,36.44,56.81,8.20,34.6753,0.15%
161724	,招商中证煤炭等权指数分级,2020-11-23,1.0350,0.7560,5.31,6.56,15.54,15.36,44.88,26.49,29.83,-3.29,20.53,-23.5160,0.1989,0.10%
160221	,国泰国证有色金属行业指数分级,2020-11-20,1.0185,0.7562,3.67,6.50,15.32,9.61,37.32,45.88,44.41,0.54,26.19,-22.7792,17.0461,0.00%
161032	,富国中证煤炭指数分级,2020-11-23,1.0980,0.7430,5.58,6.19,14.85,15.94,41.68,23,33.89,1.49,15.82,-25.7479,-3.9921,0.00%
003232	,创金合信金融地产A,2020-11-23,1.1591,1.2578,2.33,6.13,2.62,5.55,29.38,22.42,43.26,14.03,13.77,25.7758,9.5967,0.15%
003233	,创金合信金融地产C,2020-11-23,1.1414,1.2503,2.32,6.12,2.56,5.36,28.93,21.57,41.14,12.54,13.07,25.0322,8.6406,0.00%
008283	,易方达金融行业股票,2020-11-23,1.2669,1.2669,1.80,6.03,3.35,10.39,27.28,,,,,26.69,13.36,0.15%
393001	,中海优势精选灵活配置混合,2020-11-23,1.3820,1.4470,1.62,5.82,0.58,5.26,25.18,23.17,40.88,18.83,18.83,47.1840,17.4660,0.15%
004597	,南方银行ETF联接A,2020-11-23,1.2808,1.2808,2.05,5.71,3.18,8.29,20.21,10.23,34.34,22.44,6.14,28.08,3.6360,0.12%
004598	,南方银行ETF联接C,2020-11-23,1.2636,1.2636,2.05,5.71,3.15,8.18,19.97,9.80,33.28,21,5.77,26.36,3.2275,0.00%
161611	,融通内需驱动混合,2020-11-23,1.9190,2.0390,1.86,5.67,11.31,9.53,37.07,58.46,129.27,101.15,46.82,113.9777,54.8273,0.15%
161121	,易方达中证银行指数(LOF)A,2020-11-23,1.1370,1.2532,2.04,5.67,4.06,9.15,24.23,15.22,36.07,22.68,11.33,29.7125,7.5913,0.10%
009860	,易方达中证银行指数(LOF)C,2020-11-23,1.1360,1.1360,2.04,5.66,4.04,9.06,,,,,,11.0459,-0.0098,0.00%
168205	,中融中证银行指数(LOF),2020-11-23,1.0860,1.0860,2.26,5.64,3.04,7.61,23.71,13.79,32.91,17.85,9.80,18.8051,8.1846,0.10%
162719	,广发道琼斯石油指数人民币A,2020-11-20,0.7029,0.7029,-0.17,5.59,18.21,-1.94,-9.78,-21.02,-30.05,-27.36,-26.07,-29.71,-24.2495,0.12%
004243	,广发道琼斯石油指数人民币C,2020-11-20,0.7075,0.7075,-0.17,5.57,18.15,-2.09,-10.04,-21.34,-30.14,-26.76,-26.34,-29.25,-24.3447,0.00%
009234	,鹏华优质企业混合,2020-11-23,1.3134,1.3134,2.23,5.57,12.70,19.85,,,,,,31.34,,0.15%
160418	,华安中证银行指数分级,2020-11-23,0.9624,1.0888,1.98,5.53,3.31,8.67,22.54,10.18,27.58,14.02,6.57,11.9428,3.1097,0.12%
004350	,汇丰晋信价值先锋股票,2020-11-23,1.8662,1.8662,2.63,5.52,8.11,-1.36,29.21,43.62,87.14,,33.20,86.62,37.6931,0.15%
161029	,富国中证银行指数,2020-11-23,1.2480,1.3340,1.96,5.49,2.97,8.24,22.23,12.64,33.12,18.41,8.71,36.2683,6.0522,0.12%
161723	,招商中证银行指数分级,2020-11-23,1.1937,1.2989,1.96,5.48,3.09,7.92,20.89,9.74,32.89,18.92,6,33.1142,3.5233,0.10%
160631	,鹏华银行分级,2020-11-23,0.9840,1.1110,1.97,5.47,2.76,7.13,17.77,5.01,21.15,6.80,1.72,13.1447,-1.3527,0.12%
005267	,嘉实价值精选股票,2020-11-23,1.9709,1.9709,0.78,5.47,16.70,25,67.49,68.99,120.95,94.23,62.68,97.09,49.5525,0.15%
001594	,天弘中证银行指数A,2020-11-23,1.2821,1.2821,1.95,5.46,2.76,6.98,17.58,5.29,23.98,10.58,1.92,28.21,-0.7171,0.10%
001348	,大摩新机遇混合,2020-11-23,1.2560,1.2560,1.70,5.46,4.15,3.72,28.95,27.90,39.87,6.89,22.90,25.60,19.8560,0.12%
001595	,天弘中证银行指数C,2020-11-23,1.2658,1.2658,1.95,5.46,2.74,6.92,17.46,5.08,23.49,9.90,1.74,26.58,-0.9121,0.00%
007153	,添富中证银行ETF联接A,2020-11-23,1.0738,1.0738,1.95,5.46,2.80,6.76,16.60,3.82,,,0.55,7.38,-2.5279,0.10%
007154	,添富中证银行ETF联接C,2020-11-23,1.0728,1.0728,1.94,5.46,2.79,6.74,16.53,3.72,,,0.46,7.28,-2.5778,0.00%
008299	,华夏中证银行ETF联接C,2020-11-23,1.1018,1.1018,1.97,5.44,3.44,8.10,19.87,,,,7.35,10.18,0.21,0.00%
008298	,华夏中证银行ETF联接A,2020-11-23,1.1049,1.1049,1.98,5.44,3.46,8.19,20.05,,,,7.63,10.49,0.43,0.12%
000264	,博时内需增长混合,2020-11-23,1.5210,1.3290,2.98,5.41,9.19,3.12,30.11,51.64,86.63,41.36,37.65,48.6823,36.2523,0.15%
160517	,博时中证银行指数(LOF),2020-11-23,1.2422,1.3980,1.95,5.40,3.68,8.77,24.38,16.88,39.44,25.47,12.49,39.7973,10.8953,0.10%
007113	,永赢高端制造混合A,2020-11-23,1.5735,1.5735,2.61,5.39,7.19,14.71,55.16,56.75,,,42.41,57.3343,33.7466,0.15%
007114	,永赢高端制造混合C,2020-11-23,1.5701,1.5701,2.60,5.38,7.17,14.65,55.01,56.43,,,42.15,56.9943,33.5166,0.00%
240019	,华宝中证银行ETF联接A,2020-11-23,1.1951,1.7599,1.93,5.36,2.65,6.75,17.71,5.73,19.49,4.76,2.42,87.0050,-0.1452,0.10%
162411	,华宝标普油气上游股票人民币A,2020-11-20,0.2603,0.2603,-0.57,5.34,16.05,-5.07,-6.37,-29.65,-54.25,-54.33,-37.43,-73.97,-39.0952,0.15%
006697	,华宝中证银行ETF联接C,2020-11-23,1.1866,1.1866,1.92,5.34,2.63,6.69,17.53,5.36,,,2.11,18.66,-0.5191,0.00%
160643	,鹏华空天军工指数(LOF)A,2020-11-23,1.3119,1.3119,0.25,5.33,7.55,-1.11,43.27,64.63,82.39,37.43,57.98,31.1769,33.8165,0.12%
010364	,鹏华空天军工指数(LOF)C,2020-11-23,1.0530,1.0530,0.26,5.33,,,,,,,,5.30,,0.00%
